1,RT @GovCanHealth: Check out the #TopTen things you need to know about the legalization and regulation of #cannabis in Canada. #C45 #Cannabi…,
2,Let's all get baked and wait for our neighbours to the south to chill the f*ck out.… https://t.co/VBMR5hUZ4q,
3,RT @GovCanHealth: Check out the #TopTen things you need to know about the legalization and regulation of #cannabis in Canada. #C45 #Cannabi…,
4,"22 years, 4 months, 13 days later. The #CannabisAct will make the Hood Prophet's dream come true. #RoyalAssent #C45 https://t.co/qUkLoOJGyy",
5,"RT @TheRickHoweShow: ""When you look at the #CannabisAct it introduces 45 new cannabis offences replacing the 8 cannabis offences under the…",
6,"RT @JodieEmery: I’ll be on @CPAC_TV momentarily to discuss the #CannabisAct #C45 — the good, the bad, and the ugly of the new criminal laws…",
7,"RT @TheRickHoweShow: ""When you look at the #CannabisAct it introduces 45 new cannabis offences replacing the 8 cannabis offences under the…",
8,Governor General presides over #RoyalAssent of the #CannabisAct https://t.co/c554CPmMHv,
9,"Especially impressed with Ella from @spikedonline on #bbcqt
Her views on the #NHS and #CannabisAct are spot on.",
10,"Instead, parents and grandparents are expected to be part of a new generation of the cannabis “naive” — and that’s… https://t.co/23OGw0PTln",
11,Thank you @sabrinarmf and @yvrscreenscene for this piece about #BudEmpire! Airing Tuesdays on @HistoryTVCanada 10pm… https://t.co/cBzJhaWbDg,
12,RT @trichomics: DIY @VerpMedia headline: Liberals pass last second #CannabisAct amendment to make October officially summer.,
13,"RT @J_MZed: @bbcquestiontime #bbcqt          ffs !!!!!!    
is there not enough research from the Netherlands, Portugal, Canada, California…",
14,RT @TravelGoC: Canada’s border rules are not changing under the #CannabisAct. Learn more about #cannabis and international travel. https://…,
15,"@bbcquestiontime #bbcqt          ffs !!!!!!    
is there not enough research from the Netherlands, Portugal, Canada… https://t.co/R3OCPMDCO5",
16,"RT @CambsCSC: Class B drugs

Ketamine - Man made. Kills

Ritalin - Man made. Kills

Amphetamine - Man made. Kills

Cannabis - Natural. Neve…",
17,RT @HIGH_TIMES_Mag: Yesterday Canada legalized recreational cannabis! Here's what you need to know about Canada’s Cannabis Act. https://t.c…,
18,"#Canada is to become the second country in the world to fully legalise #marijuana, after the senate approved… https://t.co/VLsVCMW9Qt",
19,RT @GovCanHealth: Check out the #TopTen things you need to know about the legalization and regulation of #cannabis in Canada. #C45 #Cannabi…,
20,RT @ChristyandFras: Marijuana will be legal in Canada on October 17th. #legalization #CannabisAct https://t.co/sCmXmcoN6G,
21,"RT @UptheCypherPunx: ""Legalization"" 

#CannabisAct https://t.co/LdbNAOzWM6",
22,"RT @UptheCypherPunx: ""Legalization"" 

#CannabisAct https://t.co/LdbNAOzWM6",
23,"RT @TheRickHoweShow: ""When you look at the #CannabisAct it introduces 45 new cannabis offences replacing the 8 cannabis offences under the…",
24,"RT @vineshpratap: an answer to this question today @GlobalEdmonton 

""Is there a marijuana high equivalent to alcohol's .08?""

#yeg #BillC4…",
25,"RT @vineshpratap: an answer to this question today @GlobalEdmonton 

""Is there a marijuana high equivalent to alcohol's .08?""

#yeg #BillC4…",
26,"an answer to this question today @GlobalEdmonton 

""Is there a marijuana high equivalent to alcohol's .08?""

#yeg #BillC45 #CannabisAct",
27,"RT @TheRickHoweShow: ""When you look at the #CannabisAct it introduces 45 new cannabis offences replacing the 8 cannabis offences under the…",
28,"RT @TheRickHoweShow: ""When you look at the #CannabisAct it introduces 45 new cannabis offences replacing the 8 cannabis offences under the…",
29,"RT @MidasLetter: VIDEO: What Passing of Bill C-45 means for Valens GroWorks Corp @ValensGroWorks (CNSX:VGW) https://t.co/y7p9Nc1kUL

#Canna…",
30,Make sure you come see POSRG in Niagara Falls at #GrowUp18 booth #423. Well done guys. #acmpr #CannabisAct https://t.co/uWuDgxilKq,
31,RT @GovCanHealth: Check out the #TopTen things you need to know about the legalization and regulation of #cannabis in Canada. #C45 #Cannabi…,
32,"RT @drex: Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they could be going…",
33,"RT @drex: Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they could be going…",
34,"RT @drex: Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they could be going…",
35,"RT @drex: Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they could be going…",
36,"RT @drex: Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they could be going…",
37,"RT @drex: Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they could be going…",
38,"RT @drex: Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they could be going…",
39,"RT @JodieEmery: The work's not done yet: legal pot advocate

“Pot advocate Jodie Emery says the vote may be historic, but for lawyers, civi…",
40,"RT @JodieEmery: I’ll be on @CPAC_TV momentarily to discuss the #CannabisAct #C45 — the good, the bad, and the ugly of the new criminal laws…",
41,Hear the great news from our neighbors to the north? Congrats!Contact for private sale. #Canada #CannabisAct… https://t.co/4iHYbwsfdE,
42,"RT @_deepakanand: 💥History has been made as #C45 #CannabisAct receives Royal Assent by @GGJuliePayette.💥 
Regulations : Wednesday June 27th…",
43,RT @HealthQuoteCA: Medical Marijuana: All Smoke and Mirrors or Valid Health Insurance Coverage? - https://t.co/AUs21nOWCr - #MedicalMarijua…,
44,"Looking forward to returning to the Metro Toronto Convention Centre for #MjBizConIntl !!

Will you be in attendance… https://t.co/byNfdiPbq7",
45,"RT @JodieEmery: Still waiting for a Trudeau to decriminalize pot... 

I wrote this 6 YEARS ago, and @JustinTrudeau still refuses to end unj…",
46,"RT @JodieEmery: Letter to @JustinTrudeau — one of a few I’ve written — asking for an end to unjust cannabis possession arrests.

This was m…",
47,"$ACB $ACB.to

Aurora Cannabis (@Aurora_MMJ) Welcomes Royal Assent of Canada's #CannabisAct

https://t.co/R9Jrpp1V9Y… https://t.co/O49xkjYxcA",
48,"Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they… https://t.co/5jp2jps5l0",
49,"RT @ScottTalking: Thursday on The Scott Thompson Show! @AM900CHML 
Will country be ready for legal weed by Oct. 17th?
https://t.co/gs6u1z7s…",
50,"RT @Zieloni: 🇨🇦 Kanada jako drugi kraj na świecie legalizuje marihuanę. To dowód, że stara polityka walki z narkotykami nie działa. Wspólni…",
51,RT @JoinGreenRush: #Canada has officially legalized #cannabis for recreational use! It's the second country in the world to pass a law like…,
52,"RT @Zenabis: Mark your calendars! October 17th, 2018 will be the first official day that recreational #cannabis will be legalized in Canada…",
53,Canada's setting the stage with legalized military #marijuana use. What type of restrictions do you support? If mar… https://t.co/cWhcYJTu2j,
54,"RT @CannTrust: After a long journey, October 17 is the day when #cannabis officially becomes legal. We are so thrilled to be a part of Hist…",
55,"RT @GordQuotes: It's well worth the wait
#CannabisAct 💨 https://t.co/r8g4zp1ldP",
56,"Legalization &amp; Risks: Doctors Reminding Public
 That Health Effects of Cannabis Use Are Real… https://t.co/KxkAdqZ4qh",
57,"RT @_deepakanand: 💥History has been made as #C45 #CannabisAct receives Royal Assent by @GGJuliePayette.💥 
Regulations : Wednesday June 27th…",
58,"Join the conversation!

https://t.co/saMA2VgnhZ

#bringpeopletogether #CannabisAct #CannabisCommunity… https://t.co/LHLMqr2lvp",
59,RT @GovCanHealth: Check out the #TopTen things you need to know about the legalization and regulation of #cannabis in Canada. #C45 #Cannabi…,
60,RT @jonny_red32: $CBWTF nice bounce off the bottom. #CannabisAct #cannabis #market #CannabisCommunity 👉👉 Auxly Cannabis Group Inc 💯 https:/…,
61,"RT @jonny_red32: $MJNA MEDICAL MARIJUANA, INC. ANNOUNCES LETTER OF INTENT WITH SALVATION BOTANICALS TO BRING ITS PRODUCTS TO THE BURGEONING…",
62,"RT @_deepakanand: 💥History has been made as #C45 #CannabisAct receives Royal Assent by @GGJuliePayette.💥 
Regulations : Wednesday June 27th…",
63,"RT @JodieEmery: Letter to @JustinTrudeau — one of a few I’ve written — asking for an end to unjust cannabis possession arrests.

This was m…",
64,"RT @BCTruckingAssoc: Cannabis in Canada - please note:  ""It is illegal to take cannabis across Canada's international borders."" https://t.c…",
65,RT @HealthQuoteCA: Medical Marijuana: All Smoke and Mirrors or Valid Health Insurance Coverage? - https://t.co/AUs21nOWCr - #MedicalMarijua…,
66,"RT @MJBizDaily: Congratulations to Canada, the first G7 country to vote for federal #cannabis legalization! 
#CannabisAct #cannabiz #cannac…",
67,"RT @JodieEmery: Letter to @JustinTrudeau — one of a few I’ve written — asking for an end to unjust cannabis possession arrests.

This was m…",
